Id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,Target
109249-query,-24.021454,3.1225238,-80.947525,-112.329994,191.09018,-66.90313,-759.626064846782,-75.284454,120.55149,131.1317,-149.21106,-102.31221,21.387623,11.277594,143.2214,-22.01157,-3.6182487,-16.00548,-133.38228,-78.89356,-65.69053,407.7735748221273,-11.660624,67.00815,24.975033,813.7700714289165,40.051064,17.933155,-75.435745,149.8172,-23.413877,-178.09557,133.78647,-906.5710613479532,113.35556,83.94226,-16.592659,-146.52074,-120.23786,-27.341612,-8.845615,1.0276124,-175.64772,167.73582,-32.93155925339703,47.86096,-196.2475,-118.81005,-4.7627716,-114.87768,37.397278,-55.616966,56.627056,-108.43317,87.37256,76.51343,-136.27057,3.652915,-164.57451,-635.2842745326558,-75.647255,-116.67934,-41.234684,-24.60167,-167.76077,133.6785156767246,68.1846,26.317545,11.938202,148.54932,-778.5633808289317,-46.87775,66971-base
34137-query,-82.03358,8.115866,-8.793022,-182.9721,56.645336,-52.59761,-55.72033726883322,130.05925,129.38335,76.20288,-137.79942,33.30165,-2.8681908,-34.31877,189.06479,-19.33755,-14.20821,-71.110245,-157.74814,-78.70069,-91.741875,1054.2055997315183,-41.84563,102.12862,72.55905,813.7700714289165,-37.957787,17.598982,-159.9754,140.02528,-8.819328,-147.05518,113.81987,-529.2950529513196,70.67494,55.976795,8.817799,-134.14812,-73.679794,-57.566544,-4.3384957,-3.2706823,-144.4992,144.6502,-37.9032760689575,58.913525,-105.36284,-125.66783,19.367283,-29.087658,-35.02135,26.627962,55.718437,-110.52611,83.513374,75.92613,-135.68242,-7.429803,-180.64502,11.470170721362043,16.464691,-121.807236,-90.81445,54.448433,-120.894806,-12.292084760205569,66.608116,-27.997612,10.091335,95.809265,-1022.69153131733,-88.564705,1433819-base
136121-query,-75.71964,-0.22338629,-86.18613,-162.06406,114.320114,-53.3946,-117.26101305575943,-24.857851,124.8078,112.190155,-200.92596,-38.86518,-80.61127,14.343805,156.62129,-22.498169,-26.359468,-109.03487,-106.92659,-79.74731,-69.87683,1507.23127421948,-20.058287,34.334927,23.592144,813.7700714289165,-49.50386,22.1662,-85.74016,134.83647,-69.56985,-139.88724,67.377045,-341.7818424114949,54.161224,81.89166,36.421352,-159.99583,-131.91608,-20.495195,-13.976569,-2.3552475,-216.22865,238.83649,-56.6115358886015,43.36664,7.191841,-159.48369,-19.338009,-51.409897,36.81954,32.53688,80.68102,-232.40741,84.05369,59.08618,-139.8595,78.40944,-115.940575,2.4265720603842595,7.5948257,-126.520134,-73.14896,-5.609123,-93.02988,-80.99787090077173,63.733383,11.378683,62.932007,130.97539,-1074.4648878939415,-74.861176,290133-base
105191-query,-56.58062,5.0935926,-46.94311,-149.03912,112.43643,-76.82051,-324.9956449875206,-32.833107,119.47865,120.07479,-61.347084,-28.6706,-102.79018,-36.19432,157.18976,-33.31824,7.448413,-47.230713,-178.04608,-78.78652,-106.23544,1507.23127421948,-63.414307,38.099255,-89.79535,813.7700714289165,-107.43239,10.052701,-71.91738,147.74005,-18.750763,-143.79562,67.20731,-366.13944587412,112.1877,78.14481,-41.08541,-132.75719,-89.44503,-19.267069,-14.866466,7.7757883,-104.30211,74.622894,-59.87513611912802,76.40647,-77.79702,-92.01658,19.3373,-37.922787,37.27127,111.63957,94.91295,-179.7254,86.60148,62.698364,-122.16293,29.87394,-53.50812,-0.9388935341920116,-36.919907,-144.555,-96.79859,21.624313,-158.88037,179.5972940075577,69.89136,-33.804955,233.91461,122.868546,-1074.4648878939415,-93.775375,1270048-base
63983-query,-52.72565,9.027046,-92.82965,-113.11101,134.12497,-42.423073,-759.626064846782,8.2611685,119.49023,172.36536,-186.64139,-84.9438,-92.339966,-30.229528,167.86163,-22.635653,0.014536381,-9.796367,-213.1018,-78.59006,-98.7283,1250.4237487186726,-43.892487,86.28845,-1.5498257,813.7700714289165,-110.35698,24.055641,-96.57827,156.5823,45.12424,-123.888504,118.03511,-607.9469124164184,52.31141,76.7478,-14.161914,-143.53851,-124.886215,-64.78333,-17.706848,15.446568,-53.554455,174.38162,-23.14089246676484,76.41933,-73.357605,-128.12526,-34.57149,-2.7567406,44.027752,-13.445387,62.028725,-99.98626,79.376854,49.96618,-131.30576,-71.27052,-262.39697,-21.395427128127075,-43.73464,-127.42511,-81.566216,13.807772,-208.65004,41.742013954524,66.52242,41.36293,162.72305,111.26131,-151.16280470439264,-33.83145,168591-base
116555-query,-72.17336,6.6002235,-63.179443,-156.47023,43.943604,-83.22872,-759.626064846782,67.20319,140.56937,107.80047,-166.77649,-122.993454,-50.16074,8.356815,137.63719,-23.156174,-28.653248,16.155598,-196.78903,-78.77253,-106.03548,1100.806259684299,-21.305197,52.32806,60.502567,813.7700714289165,2.9482193,11.760826,-90.980034,165.04404,14.506528,-165.47284,64.43598,-607.9469124164184,-3.6137695,72.30982,-3.659501,-166.96559,-135.87085,-33.085,-17.680359,4.22771,-71.45422,122.777214,-57.040777076559,113.91236,-231.06262,-163.76271,40.392635,-104.114075,20.458508,-10.381535,72.57096,-102.100655,85.00499,59.263084,-136.17906,78.48732,-52.43039,-429.5053676955859,-122.009094,-124.118286,-83.74574,53.475647,-157.15256,115.01727885579965,68.549965,71.11903,176.10876,111.67146,-636.8467622003748,-12.645306,248808-base
74517-query,-150.51492,10.458229,-58.430813,-159.16386,187.59354,-79.247314,53.755519599452974,121.75841,122.45588,56.88797,-117.03334,-83.15982,-124.11713,18.372337,99.70967,-18.18084,-15.944786,-89.15239,-87.37338,-80.00001,-103.352234,1342.6411195079488,-60.522728,120.810745,3.2195911,813.7700714289165,14.107811,22.033955,-81.884445,146.42094,-22.352066,-184.49916,133.50916,-529.2950529513196,36.07098,106.68615,-72.99179,-158.84572,-126.2466,-19.342556,-7.953059,1.007312,-110.43172,212.65692,-21.092402651707783,66.178696,-91.754135,-130.67781,106.786644,-86.85092,61.976315,-71.33777,68.22308,-140.56111,90.31228,52.373814,-146.98994,51.9349,-166.0752,-185.68135574423977,-55.67057,-128.69931,-77.894714,73.248505,-151.67052,-89.05625801411121,67.0355,-27.4953,63.013626,103.211876,26.484337191918755,-51.44591,2339864-base
155040-query,-61.69818,4.54025,-12.476875,-172.35985,124.52169,-68.87824,-115.48336117114994,21.9784,119.61909,243.56963,-101.65593,-38.170174,-61.47581,-54.99621,175.97714,-24.352995,37.359245,-9.448067,-171.76189,-79.57981,-102.28576,1507.23127421948,-12.666628,38.28882,15.281328,813.7700714289165,-83.23307,14.44155,-5.1976776,145.26907,-31.135502,-73.197075,113.99841,-1018.4695451281018,57.35364,78.914566,-59.13823,-156.0689,-127.605316,-13.79789,-14.905245,14.774623,-157.53113,64.01596,-61.11228849619367,59.999474,-144.41422,14.015518,-0.64237213,-18.622564,63.76155,44.997826,84.76593,-161.36145,81.49962,57.82392,-127.42529,-17.580132,-83.941635,1.0179583039765632,-83.65616,-133.8617,-81.77414,4.953684,-94.91531,38.81830282699275,69.576195,-74.37276,171.51514,95.004776,25.828773741240937,-76.388405,335030-base
38525-query,-54.789646,15.188469,-9.680378,-161.1279,50.660873,-88.218506,-759.626064846782,93.27779,133.77458,119.65224,-107.926506,-66.53107,-79.65918,78.20586,149.84488,-4.531107,-14.925921,125.25127,-188.88449,-80.22335,-122.94576,1507.23127421948,-17.275003,40.517612,16.067827,813.7700714289165,-69.703926,13.296312,-109.41319,144.38712,-32.323807,-207.59042,66.22328,-499.05300057713794,22.212967,84.0999,6.8853645,-164.24243,-126.86982,-46.415543,-0.30325222,-1.5544262,-35.02295,172.89503,-61.71459430790968,56.96812,-95.92362,-225.34842,17.805962,-47.83348,9.589685,-44.78968,58.276554,-180.93521,79.13359,87.44386,-133.5757,64.83473,-171.50023,-41.1836700467178,-30.350845,-126.68531,-82.854996,17.78485,-115.41547,-142.1717689338026,67.794785,33.80613,84.36443,158.82788,-222.14923494470747,-39.79333,143527-base
197875-query,-110.96398,3.3631554,-7.321659,-171.9214,136.83119,-65.3812,-256.01451838678395,157.19713,140.67758,105.032,-203.35551,-42.919624,-12.624088,-68.18995,182.87828,-30.714134,1.9849045,-71.43911,-174.1245,-79.34447,-111.88383,1507.23127421948,24.048126,131.19101,4.29027,813.7700714289165,-87.436005,11.498771,-54.02972,131.95517,-43.96972,-191.77452,116.20851,-1018.4695451281018,57.314117,73.674484,7.575018,-136.8638,-106.0284,-35.093685,-0.9755287,-4.6413145,-70.074814,58.186935,-16.440254139577693,2.4448242,-118.68083,-118.51362,83.93063,69.06403,-10.008915,-45.30719,48.292953,-58.455498,89.86275,77.60692,-121.0795,-37.002968,-175.85138,-302.2430316188663,-113.276054,-130.11089,-65.71857,19.173353,-106.55611,161.08567069966182,67.77367,6.2691793,82.656425,114.93243,-1238.435985995976,-107.26237,1143833-base
